unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1640,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1641,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1642,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1643,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1644,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1645,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,0,1646,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1647,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1648,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1649,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1650,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1651,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1652,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1653,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1654,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1655,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,27,1656,- Rentspeicher Records!
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1657,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1658,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1659,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1660,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1661,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1662,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,28,1663,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1664,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1665,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1666,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1667,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,0,1668,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1669,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1670,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1671,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1672,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1673,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1674,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1675,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1676,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1677,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1678,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1679,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1680,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1681,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1682,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1683,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1684,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1685,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1686,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1687,
Pfund (lb),Fruit,preserved (dried),dates,Dattelln,,,1688,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1640,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1641,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1642,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1643,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1644,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1645,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1646,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1647,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1648,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1649,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1650,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1651,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1652,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1653,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1654,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1655,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,100,1656,- Rentspeicher Records!
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,24,1657,: AuÂ§gabe
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1658,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,0,1659,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1660,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1661,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1662,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,0,1663,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,150,1664,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1665,
Pfund (lb),Fruit,preserved (dried),dried plums,Brunellen,,,1666,
