unit,category,use,translation,item,subcategory,value,date,source
Pfund (lb),Nuts,,pistachios,Pistatien,,,1679,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1680,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1681,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1682,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1683,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1684,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1685,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1686,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1687,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1688,
Pfund (lb),Nuts,,almonds,Mandeln,,,1640,
Pfund (lb),Nuts,,almonds,Mandeln,,491,1641,
Pfund (lb),Nuts,,almonds,Mandeln,,,1642,
Pfund (lb),Nuts,,almonds,Mandeln,,,1643,
Pfund (lb),Nuts,,almonds,Mandeln,,250.5,1644,
Pfund (lb),Nuts,,almonds,Mandeln,,571.5,1645,
Pfund (lb),Nuts,,almonds,Mandeln,,636.75,1646,
Pfund (lb),Nuts,,almonds,Mandeln,,,1647,
Pfund (lb),Nuts,,almonds,Mandeln,,27,1648,
Pfund (lb),Nuts,,almonds,Mandeln,,,1649,
Pfund (lb),Nuts,,almonds,Mandeln,,,1650,
Pfund (lb),Nuts,,almonds,Mandeln,,,1651,
Pfund (lb),Nuts,,almonds,Mandeln,,,1652,
Pfund (lb),Nuts,,almonds,Mandeln,,,1653,
Pfund (lb),Nuts,,almonds,Mandeln,,,1654,
Pfund (lb),Nuts,,almonds,Mandeln,,,1655,
Pfund (lb),Nuts,,almonds,Mandeln,,188,1656,- Rentspeicher Records!
Pfund (lb),Nuts,,almonds,Mandeln,,52,1657,: Außgabe
Pfund (lb),Nuts,,almonds,Mandeln,,,1658,
Pfund (lb),Nuts,,almonds,Mandeln,,44,1659,
Pfund (lb),Nuts,,almonds,Mandeln,,,1660,
Pfund (lb),Nuts,,almonds,Mandeln,,,1661,
Pfund (lb),Nuts,,almonds,Mandeln,,,1662,
Pfund (lb),Nuts,,almonds,Mandeln,,588,1663,
Pfund (lb),Nuts,,almonds,Mandeln,,414,1664,
Pfund (lb),Nuts,,almonds,Mandeln,,,1665,
Pfund (lb),Nuts,,almonds,Mandeln,,,1666,
Pfund (lb),Nuts,,almonds,Mandeln,,,1667,
Pfund (lb),Nuts,,almonds,Mandeln,,14,1668,
Pfund (lb),Nuts,,almonds,Mandeln,,,1669,
Pfund (lb),Nuts,,almonds,Mandeln,,43,1670,
Pfund (lb),Nuts,,almonds,Mandeln,,84,1671,
Pfund (lb),Nuts,,almonds,Mandeln,,72,1672,
Pfund (lb),Nuts,,almonds,Mandeln,,132,1673,
Pfund (lb),Nuts,,almonds,Mandeln,,6,1674,
Pfund (lb),Nuts,,almonds,Mandeln,,,1675,
Pfund (lb),Nuts,,almonds,Mandeln,,,1676,
Pfund (lb),Nuts,,almonds,Mandeln,,,1677,
Pfund (lb),Nuts,,almonds,Mandeln,,,1678,
Pfund (lb),Nuts,,almonds,Mandeln,,2,1679,
Pfund (lb),Nuts,,almonds,Mandeln,,,1680,
Pfund (lb),Nuts,,almonds,Mandeln,,,1681,
Pfund (lb),Nuts,,almonds,Mandeln,,,1682,
Pfund (lb),Nuts,,almonds,Mandeln,,,1683,
Pfund (lb),Nuts,,almonds,Mandeln,,,1684,
Pfund (lb),Nuts,,almonds,Mandeln,,,1685,
Pfund (lb),Nuts,,almonds,Mandeln,,,1686,
Pfund (lb),Nuts,,almonds,Mandeln,,,1687,
Pfund (lb),Nuts,,almonds,Mandeln,,,1688,
Stof,Seeds,,poppy seeds,Mohn,,,1640,
Stof,Seeds,,poppy seeds,Mohn,,,1641,
Stof,Seeds,,poppy seeds,Mohn,,,1642,
Stof,Seeds,,poppy seeds,Mohn,,,1643,
Stof,Seeds,,poppy seeds,Mohn,,,1644,
Stof,Seeds,,poppy seeds,Mohn,,,1645,
Stof,Seeds,,poppy seeds,Mohn,,,1646,
Stof,Seeds,,poppy seeds,Mohn,,,1647,
Stof,Seeds,,poppy seeds,Mohn,,,1648,
Stof,Seeds,,poppy seeds,Mohn,,,1649,
Stof,Seeds,,poppy seeds,Mohn,,,1650,
