unit,category,use,translation,item,subcategory,value,date,source
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1662.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",16.0,1663.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1664.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1665.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1666.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1667.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",0.0,1668.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1669.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1670.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1671.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1672.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1673.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1674.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1675.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1676.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1677.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1678.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1679.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1680.0,
