unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1658,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",0,1659,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1660,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1661,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1662,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",11,1663,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",13,1664,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1665,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1666,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1667,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",1,1668,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1669,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1670,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1671,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1672,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1673,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1674,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1675,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1676,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1677,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1678,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1679,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1680,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1681,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1682,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1683,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1684,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1685,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1686,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1687,,
Stück (Piece),Meat,,curlew,Brachvogel,"Bird, wild",,1688,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1640,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",1558,1641,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1642,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1643,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",106,1644,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",,1645,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krünitz)],"Bird, wild",548,1646,,
