"date","aurochs","bacon","beef","black grouse","boar bacon","brined/pickled castrated ram","brined/pickled goose","brined/pickled lamb","brined/pickled sheep","bustard","calf trunk","capercaillie","capon","coot","cow trunk","crabs","curlew","Deer","deer tongue","doves","dried beef","dried geese","dried lamb","dried mutton","dried sheep","ducks","eggs","fattened pig","fieldfare","finch","geese","gray partridge","ham","hazel grouse","hen","lamb","lark","Moose","mutton","oxen","pig","pig's head","quail","rabbit","roe deer","sandpipers","sheep","small birds","snails","snow bunting","sparrows and skylarks","starling","suckling pig","swans","thrush","veal","waxwing","westphalian ham","wild boar","wild geese","wild turkey","yellow hammer","young boar"
"1668",,"  19.00","   0.00",,,,,,,,,,"   0.00",,"   0.75",,"   1.00",,,"  50.00","   9.00","  15.00",,"   0.00","   0.00","  41.00","1500.00","   0.00","   2.00",,"  12.00",,"   3.00",,"  62.00","   4.00","  24.00",,"   4.00","   2.00","   0.50",,,"  10.00","   1.00","   6.00","   1.00","   0.00",,,,"   6.00","   0.00",,,"   4.00",,,"  94.00",,"   6.00",,
"1669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1670",,"   7.75",,"   0.00",,,,,,,"  15.00","   0.00","  20.00",,"  18.25","3315.00",,,,"  80.00","  10.00","  10.00",,,,"  78.00","5158.00",,,,"  41.00","  10.00","   9.00","   9.00"," 342.00","  25.00"," 190.00",,"  15.50","   9.00","   1.00","   9.00",,"  19.00","   4.00","  41.00","  10.25"," 426.00",,,,,"   4.00",,"  46.00","  20.00",,,"   0.00",,"  21.00",,"   0.00"
"1671",,"   2.0",,"   2.0",,,,,,,"   4.0",,"  17.0",,," 240.0",,,,"  12.0","  64.0",,,,,"   4.0","2257.0",,,,"   6.0",,,"   2.0","  66.0","   6.5",,,"   5.0","   1.0","   3.0",,,"   9.0",,,,,,,,,"   3.0",,,"  12.5",,,,,"   5.0",,
"1672",,"  13.50",,,,,,,,,,,,,"   0.75",,,,,,"  80.00",,,,,,"4293.00",,,,,,,,,"   3.00",,,,"   1.00","   1.00","   4.00",,,,,,,,,,,,,,"  15.00",,,,,,,
"1673",," 13.0",,,,,,,,,,,,,,,,,,," 68.0",,,,,,"400.0",,,,"  7.0",,,," 28.0"," 12.0",,,,"  1.0","  1.0",,,,,,,,,,,,,,," 14.5",,,,,,,
"1674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1"," 1",,,,,,,,,,,,,,,,,,,,,,
"1675",,,,,,,,,,,,,,,,,,,,,,,,,,,"330",,,,,,,,,,,,,"  1","  1","  2",,,,,,,,,,,,,,,,,,,,,
"1676",,"0.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.00","1.00","2.00",,,,,,,,,,,,,,,,,,,,,
"1677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1"," 1",,,,,,,,,,,,,,,,,,,,,,
"1678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1"," 1",,,,,,,,,,,,,,,,,,,,,,
"1679",,"  44.00",,"  43.00",,,,,,,,,"  53.00",,,,,"   4.00",,,"   8.00",,,,,"  10.00","1452.00",,"  20.00",," 128.00"," 132.00",,"  21.00"," 343.00","   6.00",,"   4.50"," 283.00","  14.00","  15.00",,,"  59.00","   8.00",,"   4.00"," 135.00"," 420.00",,,,"   7.00",,,"  68.25"," 130.00",,"   1.00",,"  77.00",,"   3.00"
"1680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1681",,"  36",,,,,,,,,,," 134",,,,,,,,"   4",,,,,"  56","7803",,"  40",," 159",,,,"1326","   1",,," 314",,"  26","   7",,,,,,,,,,,,,," 159"," 240",,"   1",," 136",,
"1682",,"  1",,,,,,,,,,,,,,"300",,,," 13",,,,,,,"600",,,,,,,," 58","  3",,,,"  1","  1",,,,"  1",,,,,,,,,,,,,,,,,,
"1683",,"0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.0","1.0",,,,,,,,,,,,,,,,,,,,,,
"1684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1"," 1",,,,,,,,,,,,,,,,,,,,,,
"1685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1"," 1",,,,,,,,,,,,,,,,,,,,,,
"1686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1",,,,,,,,,,,,,,,,,,,,,,,
"1687",,"  1",,,,,,,,,,,,,,,,,,,,,,,," 12","180",,,,"  4",,,," 58",,,,,"  2","  2",,,,,,,,,,,,,,,"  6",,,,,,,
"1688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1",,,,,,,,,,,,,,,,,,,,,,,
