"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"9","Big sheep cheese",NA,"Dairy","Dairy","","Stück (Piece)",0.1243286565,0.7226603162,-0.8547595137,1.402582657,NA,NA,NA,-1.072334663,NA,0.7226603162,NA,NA,-1.045137769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.875",92,0,NA,"22",NA,NA,"4","10","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"5","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Brandenburg hard cheese",NA,"Dairy","Dairy","","Stück (Piece)",-0.6475842722,-0.6048354427,-0.6411316187,-0.601609116,NA,NA,NA,-0.6725883045,NA,-0.6524237623,-0.6419382004,NA,-0.6564566707,NA,-0.5693458485,3.489373202,2.376290473,0.5856791277,0.2953097203,-0.575798502,0.004940312835,0.004940312835,-0.6241934032,0.1017301153,NA,0.1017301153,-0.575798502,0.1017301153,0.1017301153,0.1017301153,NA,0.1985199178,"832.875",5160,0,NA,"17195",NA,NA,"5635","21785","7493",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"15700","2640",NA,NA,NA,"1800",NA,NA,128,5160,3780,1560,1200,120,840,840,60,960,NA,960,120,960,960,960,NA,1080
"20","butter",NA,"Dairy","Dairy","","Stof (Fluids)",-0.3559539521,-0.4006221981,-0.3606558727,-0.3712351942,-0.2536871783,NA,NA,NA,0.3552115436,-0.4417640037,-0.3782880751,NA,-0.4464659243,-0.0497413709,-0.444114964,0.113062631,-0.1549468451,NA,-0.4229563211,NA,NA,NA,0.8465622497,NA,3.89340682,-0.3947447973,NA,NA,NA,NA,-0.3947447973,-0.3383217497,"402.6578947",3720,1,NA,"8,619.50",NA,NA,"4,828.50","7978","8,099.50",NA,192,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,710,"19020","9320",NA,NA,NA,"340.5",NA,365.5,30,504,276,NA,48,NA,NA,NA,1128,NA,3720,72,NA,NA,NA,NA,72,120
"76","Gouda Cheese",NA,"Dairy","Dairy","","Stück (Piece)",0.5607962931,0.6555787652,-0.884636406,0.3238401129,NA,NA,NA,-1.382244384,NA,-0.1500722475,0.2764488769,NA,NA,-1.145288204,NA,NA,NA,NA,NA,NA,NA,NA,1.745577194,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.1",101,0,NA,"13",NA,NA,"2","52","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"125","43",NA,NA,NA,"14",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Quark",NA,"Dairy","Dairy","","Stof (Fluids)",0.7935679651,-0.2584764229,1.192619285,1.228896677,-0.947746884,-1.419352989,NA,-0.04081206677,NA,1.482838426,0.06802011129,NA,-0.367308601,-0.8751920986,-0.2947538156,1.446561033,0.3945166455,-1.455630382,NA,NA,NA,NA,-0.947746884,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.45454545",264,1,NA,"340",NA,NA,"312","216","199",NA,168,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,144,NA,NA,NA,"","168",NA,NA,NA,"0",NA,264,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Small sheep cheese",NA,"Dairy","Dairy","","Stück (Piece)",-0.5055183915,0.5917308304,0.7837494442,-1.163867925,NA,NA,NA,-1.191299155,NA,1.414667747,NA,NA,0.07053744998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.25",86,0,NA,"1071",NA,NA,"204","515","553",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"0","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
