"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"39","corned beef","Pökelrindfleisch","","Meat","Meat","Beef","Stof (fluids)",1.906573126,-0.1695500602,0.9723176923,,,,,-1.103805494,-0.6193767506,0.9031135861,0.1072663646,,-0.0311418478,-0.8615911224,-1.103805494,,,,,,,,,,,,,,,,,,"83.11111111",576,0,,"245",,,"540","120","192",,,,,,,,,,"",,,0,,,,"288","",576,,,"",,,,,,,,,,,,,,,,,,,,
"40","cow tongue","Rindtzung","","Meat","Meat","Beef","Stof (fluids)",0.09325212603,-0.3587836035,1.243888529,2.024677516,-0.7286310186,,,-0.2355011318,-0.6053485469,1.654830101,-0.9341018048,-0.1327657387,-0.7697251758,-0.2663217498,,-0.9854695013,,,,,,,,,,,,,,,,,"25",65,1,,"60",,,"168","328","",,,,,,,,,,"",,,4,,,18,"476","275",,,,"46",,11,4,,,,,,,,,,,,,,,,,
