translation,original,notes,category,macrocategory,subcategory,unit of measure,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
eggs,Eÿer,,Eggs,Meat,,Stück (Piece),-0.5856916848,,-0.03378990489,-0.3294515727,,,,-1.039039575,,0.8729058763,,,-0.684245574,,,,,,,,,,,,1.799312435,,,,,,,,"1,528.63",7803,1,,104832,,,74731,117328,115500,,2085,,,,,,,,,,,1874,,,2407,130298,30807,,,,1500,,5158,2257,4293,400,,330,,,,1452,,7803,600,,,,,180,
fattened pig,"Is this Schweinschmalz? If so, then the values are missing and it was measured in stof. 177 in 174, 88 in 1645, 158 in 1646",,Meat,Meat,Pork,Stück (Piece),1.949218063,0.4831395199,-0.2165797848,-0.04997995034,,,,-1.382778626,,-0.6497393544,1.282818725,,-0.6497393544,,,,,,,,,,-0.7163792882,,-0.04997995034,,,,,,,,1.142857143,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
fieldfare,Kramßvögel/Krammetsvogel/Krambßvogel,,Meat,Meat,"Bird, wild",Stück (Piece),,,,,,,,,,-0.5773502692,1.154700538,,-0.5773502692,,,,,,,,,,,,,,,,,,,,32.2,81,0,,729,,,3,197,3180,,,,,,,,,,,,,0,,,,1423,762,,,,2,,,,,,,,,,,20,,40,,,,,,,
figs,Feÿgen,,Fruit,Organics,,Irregular!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42857143,65,1,,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,0,,,,,,,,,,,,,,,,,,,,
finch,Parießvogel,,Meat,Meat,"Bird, wild",Stück (Piece),-0.171038248,-0.4163799972,-0.1514109081,-0.3476843074,,,,-0.3574979774,,-0.1317835681,-0.03364686846,,-0.6028397266,-0.004205858558,-0.3574979774,-0.1219698982,-0.1219698982,,,,,,3.41095129,,,,,,,,-0.5930260567,,0.875,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fine salt,Kleinsalz,,Salt,Flavorings,,Stof (Fluids),,,1.482157394,,,-0.4940524647,,,,0.4359286453,-0.2906190969,,-1.133414478,,,,,,,,,,,,,,,,,,,,80.14285714,432,1,,3744,,,2112,3648,3835,,,,,,,,,,,,,48,,,,5644,782,,,,24,,84,48,72,72,,,,,,432,,,,,,,,24,
fish guts,Hausenblasen,,Fish,Flavorings,,Pfund (lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.57142857,92,1,,,,,,6,,,,,,,,,,,8,,,,,,,4,20,,,,0,,,,,,,,,,,,,,,,,,,,
flounder,Flundern,,Fish,Fish,,Stück (Piece),-0.8716958011,0.7080092572,1.144506708,-0.3728415722,,,,-0.6222686866,-0.227342422,-0.5391263151,0.4377965499,0.6248668857,-0.8509102082,-0.2481280149,-0.9756237655,,-0.9548381726,,,,,,1.560218565,,2.204571944,,,,,,-1.017194951,,1.142857143,2,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geese,Gänße,,Meat,Meat,"bird, fowl",Stück (Piece),1.415799849,-0.441969265,1.475727885,1.415799849,-0.7865554716,0.2771671662,0.9663395793,-0.6966634177,,1.895224136,-0.441969265,,-0.6217533728,-0.7790644671,-0.8315014985,-0.6816814087,-0.7715734626,-0.6816814087,,,,,-0.7116454266,,,,,,,,,,52.6875,159,1,,1165,,,580,882,2876,,,,,,,,,,,,,23,,,42,1730,654,83,,,12,,41,6,,7,,,,,,128,,159,,,,,,4,
ginger,Ingber,,Spice,Flavorings,,Pfund (lb),-0.3902887915,0.1282767357,1.438337015,1.82043793,,,,-0.9088543187,,-0.5540463264,0.7287210303,,-0.526753404,-0.8542684738,,,,,,,,,-0.8815613963,,,,,,,,,,16.3359375,50,3.5,,204.72,,,115.75,221.75,335.2,,4.25,,,,,,,,79.75,33.5,,5.75,,,,337.625,112.25,,,,1,,4.375,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
Gouda Cheese,Holländische Kese,,Dairy,Dairy,,Stück (Piece),0.5607962931,0.6555787652,-0.884636406,0.3238401129,,,,-1.382244384,,-0.1500722475,0.2764488769,,,-1.145288204,,,,,,,,,1.745577194,,,,,,,,,,32.1,101,0,,13,,,2,52,99,,,,,,,,,,,,,0,,,,125,43,,,,14,,2,,,,,,,,,1,,,,,,,,,
gray partridge,Rephüner/Raphünner,,Meat,Meat,"bird, fowl, wild",Stück (Piece),0.3743059662,-0.6321266731,0.5560229705,-0.4224532066,,,,-0.7998654463,,-0.5203008243,-0.7299742908,,-0.1708450468,,,,,2.345236551,,,,,,,,,,,,,,,45,132,0,,52,,,58,123,516,,,,,,,,,,,,,0,,,,3639,62,,,,,,10,,,,,,,,,132,,,,,,,,,
haddock,Pomuschln,"Translation derived from: Buse Das Ganze der Handlung, oder vollständiges Handbuch , p. 342, vol. 1, Issue 4, Erfurt, 1801",Fish,Fish,,Stück (Piece),-1.154549284,0.5610893717,0.5934599124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28571429,94,1,,20,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half dried white bream,Treüge Halbbreßem,,Fish,Fish,,Stück (Piece),0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.71428571,81,1,,162,,,538,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-smoked salmon,Treüg riemen Lachß,,Fish,Fish,,Stück (Piece),,,,,,,,-0.8703952448,,-0.1604984139,1.691406362,,-0.06790317513,-0.5926095284,,,,,,,,,,,,,,,,,,,1.142857143,2,1,,293.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Schincken,,Meat,Meat,pork,Stück (Piece),1.784693225,0.0985413437,1.51370453,-0.7746444519,,,,-0.9251937269,,-0.1423374965,1.062056704,-0.8047543069,,-0.6542050318,-0.8649740169,,,,,,,,-0.2928867715,,,,,,,,,,16.44444444,84,0,,,,,,,,,,,,,,,,,,,,0,,,,145,82,,,,3,,9,,,,,,,,,,,,,,,,,,
hazel grouse,Haßelhüner/Haaselhüner,,Meat,Meat,"bird, fowl, wild",Stück (Piece),-0.3079617533,-0.3916243807,-0.2822194063,-0.3433574803,,,,-0.3015261665,-0.1953389855,-0.5106827353,-0.3980599675,0.1554004913,-0.4559802481,0.5125755549,-0.3755354139,,-0.4978115618,,,,,,0.5157933483,,3.678884226,-0.4012777608,,,,,-0.4012777608,,21.25,82,0,,595,,,177,485,1057,,,,,,,,,,,,,0,,,,1696,487,4,,,,,9,2,,,,,,,,21,,,,,,,,,
hen,Hüner,,Meat,Meat,"bird, fowl",Stück (Piece),,0.5975904854,0.4855422694,1.718072645,0.6349398907,-0.6349398907,,,,,,,,,-1.008433944,-0.784337512,-1.008433944,,,,,,,,,,,,,,,,178,1326,1,,5596,,,3253,6603,5619,,,,,,,,,,,,,89,,,122,14760,4210,231,,,62,,342,66,,28,,,,,,343,,1326,58,,,,,58,
honey,Honig,,Honey,Flavorings,,Stof (Fluids),-0.06659723635,-0.1046528,1.075069673,-0.4471528727,,,,-0.1046528,,1.760069818,-0.6754862544,,-1.436597527,,,,,,,,,,,,,,,,,,,,23.18181818,78,1,,,,,24,24,6,,48,,,,,,,,36,,,,,,,,,,,,,,,4,10,4,,,,,,,,,,,,,,,
jellied eel,Eingemachte Neünaugen,,Fish,Fish,,Stof (Fluids),1.744346464,-0.07946908719,1.946992636,0.7648899642,,,,-0.552310156,-0.7887306903,-0.6874076042,2.01454136,-0.7042947852,0.1907258093,0.02185399898,-0.602971699,-0.7211819662,-0.4172127077,,,,,,-0.6198588801,,-0.7887306903,-0.7211819662,,,,,,,45.5,98,1,,24,,,240,48,312,,,,,,,,,,,,,48,,,,96,226,,,,132,,,,,,,,,,,,,,,,,,,,
lamb,Lämm,,Meat,Meat,Other,Stück (Piece),-1.15284311,,0.5197243529,0.6331187572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.29411765,85,1,,463.5,,,140,485.75,366.5,,,,,,,,,,,,,8,,,1,"1,506.75",85.25,3.5,,,4,,25,6.5,3,12,,,,,,6,,1,3,,,,,,
lamprey,Neünaugen: Frische Morchnen / Maröhnen,,Fish,Fish,,Stück (Piece),,2.266793165,0.9917220098,0.05059806173,,,,,,-0.4958610049,-0.4655021679,,,-0.586937516,,,-0.4351433308,,,,,,-0.6476551901,,-0.6780140271,,,,,,,,23.28571429,81,1,,1220,,,,420,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lard,Schmeer,,Cooking oil,Flavorings,,Stück (Piece),-0.09885710339,-0.7122204949,0.0269610282,0.2785972914,,,,-0.9481294916,,,,,-0.5864023633,2.040051134,,,,,,,,,,,,,,,,,,,19.72727273,99,1,,,,,9.5,29.5,2,,,,,,,,,,,,,,,,,11,11,,,,,,4,,,9,,,,,,2,,1,,,,,,,
lark,Lÿrchen,,Meat,Meat,"Bird, wild",Stück (Piece),-0.3070255982,-0.4379689659,-0.20454818,-0.261480079,-0.489207675,-0.5062872447,3.359388698,-0.1305367113,,,-0.4949008649,,-0.4436621558,-0.2842528386,,0.370464,0.1712023534,,,,,,-0.3411847376,,,,,,,,,,41.66666667,190,0,,2679,,,1232,3229,60,,,,,,,,,,,,,0,,,,,,,,,24,,190,,,,,,,,,,,,,,,,,,
lemons,Lemonien/Limonien,,Fruit,Organics,Citrus,Stück (Piece),0.9226260118,0.6459628084,1.718032721,1.026374713,-0.8670390851,-0.1840268017,-0.5644387064,-0.8445601998,,1.960113024,0.9572089122,,0.1963851029,-0.8302947534,-0.8411019097,-0.819487597,-0.8367790472,-0.8065190093,,,,,-0.8324561846,,,,,,,,,,106.4285714,700,1,,2757,,,1702,4112,4778,,24,,,,,,,,7862,700,,87,,,,,1697,,,,40,,60,,175,140,,,,,,50,,,,,,,,,
mace,M. Blumen,,Spice,Flavorings,,Pfund (lb),-0.3340965439,1.163707063,-0.2027102626,0.4279438877,,,,-1.174968744,,1.268816088,,,-1.148691488,,,,,,,,,,,,,,,,,,,,24.09140625,83,0.25,,26.2,,,22.9,42.14,41.3,,0.25,,,,,,,,76,9,,0.9,,,,71.84,37.5,,,,4.09,,1.3125,1,1.625,1.125,2,,,,,1.25,,,,,,,,,
millet gruel,Grütze Hirße,,Grain,Grain,,Stof (Solids),-0.05292953631,,-0.503981237,1.525751416,,,,-0.7939430446,,1.300225566,-0.7939430446,,,,,,,,,,,,-0.6811801194,,,,,,,,,,36,94,0,,178,,,60,204,456,,,,,,,,,,,,,0,,,,87,,,,,0,,,,,,,,,,,,,,,,,,,,
Moose,Elend und Kälber,,Meat,Meat,"venison, wild",Stück (Piece),0.8297002836,,-1.110334203,,,,,,,0.2806339195,,,,,,,,,,,,,,,,,,,,,,,18.05555556,74,1,,15.75,,,,10.75,54.25,,,,,,,,,,,,,1,,,,5,10,,,,,,,,,,,,,,,4.5,,,,,,,,,
mustard,Senf,,Seasoning,Flavorings,,Stof (Solids),0.1903453986,-0.4765046986,0.24164156,0.1390492373,,,,-0.6893837681,-0.6560412632,-0.4970231631,-0.08665387252,-0.5278008599,-0.5483193245,-0.6970781923,-0.8048001311,,,,,,,,2.047266439,,2.365302639,,,,,,,,11.14285714,66,1,,57,,,10,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutton,Hammel und Schöpßen,,Meat,Meat,Other,Stück (Piece),0.1561706831,0.1561706831,1.045240575,0.4673451452,,0.06726369398,-0.3328177572,-0.7551259557,,2.734473369,1.400868531,,-0.5550852301,-0.7551259557,-0.7466797918,-0.728453859,-0.7440125821,-0.6884457139,,,,,-0.7217858348,,,,,,,,,,76.66071429,314,1,,737.25,,,194.12,860.75,931.25,,,,,,,,,,,,,16.25,,,19.5,"2,689.50",671.5,32,,,4,,15.5,5,,,,,,,,283,,314,,,,,,,
nutmeg,M. Nüße,,Spice,Flavorings,,Pfund (lb),-0.09575312649,-0.09575312649,0.2700453343,-0.7627973785,,,,-0.3432050264,,-0.5045867003,-0.407757696,,-0.6444508176,,,,,,,,,,-0.1280294613,,2.712287999,,,,,,,,17.71933333,80,0.5,,14.828,,,14.5,22.03,22.9,,,,,,,,,,62.75,10,,0.5,,,,69.375,36.125,,,,0.6,,0.5,0.69,1.1,0.75,2,,,,,1.25,,,,,,,,,
oat groats,Habergrütz,,Grain,Grain,,Stof (Solids),-0.4227133983,1.071963811,1.72588509,-0.6095480495,,0.1377905552,-0.936508689,-1.053280346,,,1.071963811,,0.09108189245,,,,,,,,,,-1.076634677,,,,,,,,,,77.1,336,1,,459.5,,,463,936,1275,,,,,,,,,,,,,52,,,,2295,336,,,,28,,,,,,,,,,,72,,336,,,,,,,
olives,Oliven,,Olives,Flavorings,,Stof (Fluids),-0.4486924541,-0.3890088973,-0.3293253404,3.550105854,-0.508376011,,,0.9240293533,0.1779848927,2.714536059,-0.09059111306,0.9837129101,0.7449786827,-0.03090755622,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,0.267510228,,,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.4486924541,-0.508376011,23.25,62,1,,121.5,,,24,31,127,,,,,,,,,,96,4,,1.5,,,,,34,,,,3,,,,,,,,,,,1,,,,,,,,,
oxen,Ochßen,,Meat,Meat,Beef,Stück (Piece),-0.2966199565,-0.3233513945,-0.3536470243,,,-0.383942654,,-0.4142382838,,-0.2431570805,-0.3180051069,,-0.330479778,2.663441279,,,,,,,,,,,,,,,,,,,9.696428571,70,1,,1,,,1,1,5,,1,,,,,,,,,,,25,,,12.5,4,11,26,,,2,,9,1,1,1,1,1,1,1,1,14,,,1,1,1,1,1,2,1
oysters,Auster,,Fish,Fish,,Stof (Fluids),1.346494715,0.6287469991,1.46133435,0.1406785523,,,,-1.409656514,,-0.548359255,0.4564875473,,-0.86416825,,-1.179977245,,,,,,,,,,-0.0315808995,,,,,,,,225.8888889,1727,0,,3456,,,2592,192,,,,,,,,,,,480,,,0,,,,9216,384,,,,768,,1727,,,,,,,,,,,,,,,,,,
pearl barley,Gerstengraupen/ Graupen,,Grain,Grain,,Stof (Solids),,,,,,-0.4323732181,,,,2.263203563,-0.4323732181,,-0.4323732181,-0.2905007559,-0.3850823974,,,,,,,,-0.2905007559,,,,,,,,,,40.2,101,0,,662,,,432,789,408.5,,,,,,,,,,,,,0,,,,1808,48,,,,172,,,8,,,,,,,,,,48,,,,,,,
pearl barley groats,Perlengrütz,,Grain,Grain,,Pfund (lb),-0.6004745552,-0.5348130401,-0.4822838281,-0.4757176766,,,,2.577542773,,-0.3608100252,-0.3575269495,,-0.5873422522,,,,,,,,,,0.01674368634,,0.804681867,,,,,,,,7.8,59,1,,,,,,,,,,,,,,,,,10,,,,,,,45,10,,,,0,,4,2,,,,,,,,4,,,,,,,,,
peas,Erbßen,,Grain,Grain,,Stof (Solids),1.34959507,-0.008320561468,1.519334524,1.406174888,-0.8428728767,0.3877381644,0.9252464352,-0.7580031497,,1.802233614,-0.4043792873,,-0.5741187413,-0.8287279222,-0.8853077401,-0.7438581952,-0.8287279222,-0.7438581952,,,,,-0.7721481042,,,,,,,,,,187.2,972,1,,"1,994.50",,,1427,2195,3390,,,,,,,,,,,,,972,,,,6246,736,,,,"1,401.50",,,,,,,,,,,192,,432,,,,,,,
pepper,Pfeffer,,Spice,Flavorings,,Pfund (lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09375,52,3.5,,217.59,,,134.25,247.8125,344.3,,4.25,,,,,,,,95.25,35.5,,5.75,,,,350.875,120.5,,,,1.625,,4.5,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
perch,Perschken,,Fish,Fish,,Stück (Piece),0.8921120767,,0.7023009965,,,,,-0.9300742927,,-0.8921120767,1.119885373,,-0.8921120767,,,,,,,,,,,,,,,,,,,,1,1,1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickeled moose,Elend und pökel wildpret,,Meat,Meat,"venison, wild",Thonne,0.8274902285,-1.111201164,,0.2837109355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.571428571,43,1,,28.87,,,,1,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
pickled carp,Pökelfische: Karpffen,,Fish,Fish,preserved,Stof (Solids),-0.3342072871,0.9083582675,1.208287884,-0.805525256,,,,-0.9769136084,,,,,,,,,,,,,,,,,,,,,,,,,13.25,55,0,,2388,,,,228,,,,,,,,,,,,,,0,,,,0,384,,,,0,,,,,,,,,,,,,,,,,,,,
Pickled deer,Hirschen pökel wildpret,,Meat,Meat,"venison, wild",Thonne,-0.1767169908,-0.3638290987,-0.6756826118,-0.2390876934,,,,-0.5197558552,,-0.6756826118,-0.8004240171,,,,,,,,1.725589439,1.725589439,,,,,,,,,,,,,25.625,103,0,,17.25,,,6.25,8,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled eel,Pökelfische: Ahl,,Fish,Fish,,Stof (Fluids),0.9465882199,1.487495774,-0.2511356502,-0.3284081579,,,,-0.9465882199,,,,,-0.907951966,,,,,,,,,,,,,,,,,,,,33.8,96,1,,18600,,,1572,1200,2640,,,,,,,,,,,,,24,,,,136,1248,,,,,,,,,,,96,96,,,,,,,,,,,,
pickled European white fish,Pökel Schnepeln,,Fish,Fish,,Stof (Fluids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.22222222,144,0,,144,,,,268,288,,,,,,,,,,,,,0,,,,96,,,,,168,,,,,,,,,,,,,144,,,,,,,
pickled gudgeon,Pökel Breßem,,Fish,Fish,,Stof (Fluids),1.959336657,-0.7241026775,0.4354081459,0.07099045858,,,,,,-0.7241026775,-0.9560048422,,,-0.0615250641,,,,,,,,,,,,,,,,,,,13.125,64,0,,24,,,348,120,156,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled herring,Pökelfische: Heringe,,Fish,Fish,preserved,Stof (Fluids),0.4925675747,-0.1868359766,-0.2887465093,-0.628448285,,,,-0.6624184626,,-0.390657042,2.292986986,,-0.628448285,,,,,,,,,,,,,,,,,,,,16.93333333,64,1,,876,,,1560,3240,3924,,,,,,,,,,,,,,,,,1752,156,,,,,,48,,,,,,,,,,,,,,,,,,
pickled lamprey,Pökel Morehnen,,Fish,Fish,,Stof (Fluids),-0.1204039238,,1.59303653,0.2037604864,,,,-0.8613511472,,,,,-0.8150419458,,,,,,,,,,,,,,,,,,,,42.14285714,98,1,,192,,,264,300,60,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
pickled pike,Pökelfische: Hecht,,Fish,Fish,preserved,Stof (Fluids),,,0.7071067812,,,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,16.125,88,0,,1848,,,120,100,0,,,,,,,,,,,,,0,,,,1152,96,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pike-perch,Pökelfische: Zant,,Fish,Fish,preserved,,0.4898436753,-0.5929686595,,1.611327879,,,,-0.9410154814,,0.3351561989,,,-0.9023436123,,,,,,,,,,,,,,,,,,,,10.5,54,0,,12160,,,,2844,1920,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pork,Schwein pökel Wildpret,,Meat,Meat,pork,Thonne,,,,,,,,0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,1.75,8,0,,,,,,1.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled salmon,Pökelfische: Lachß,,Fish,Fish,preserved,Stof (Fluids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,67,0,,192,,,1080,,480,,,,,,,,,,,,,0,,,,1920,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled sturgeon,Pökel Stor,,Fish,Fish,,Stof (Fluids),2.233698778,1.053029424,2.169878813,1.914598953,-0.5743796858,,,,-0.5424697033,2.13796883,0.4786497382,-0.5424697033,-0.4786497382,-0.5743796858,-0.5105597207,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,-0.1276399302,,0.2233698778,-0.5743796858,-0.5743796858,-0.5743796858,-0.5743796858,,-0.5424697033,,10,60,1,,,,,,,,,,,,,,,,,,,,60,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,
pickled wild aurochs or elk,Pökel Auer Wildpret,,Meat,Meat,"beef, wild",Thonne,0.6141086036,0.1177306649,0.1940965017,-0.4168301921,,,,-0.7604764573,,2.828717868,0.3086452567,,,-0.4168301921,,-0.6077447839,,,-0.6841106206,-0.6841106206,,,,,-0.4931960288,,,,,,,,1.428571429,4,1,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,Schweine,,Meat,Meat,Pork,Stück (Piece),0.7812562142,0.261621596,-0.9508591799,0.6946504445,,,,0.1533643838,0.04510717172,-0.9292077374,-0.2580130222,,-0.6910418707,-0.7126933132,-0.8859048526,,,,,,,,2.491720166,,,,,,,,,,15.84615385,88,1,,59.75,,,26,53,60.25,,1,,,,,,,,,,,,,,2,74.75,23.5,2,,,0.5,,1,3,1,1,1,1,1,1,1,15,,26,1,1,1,1,,2,
pig's head,Schweinköpffe,,Meat,Meat,Pork,Stück (Piece),1.47643059,,,-0.2427009189,,,,-0.6269773738,,,,,-0.6067522972,,,,,,,,,,,,,,,,,,,,16.15384615,95,0,,190.5,,,142.5,145.5,115,,,,,,,,,,,,,0,,,,89,2,,,,,,9,,4,,,2,2,,,,,7,,,,,,,
pike,Frische Fische: Hecht,,Fish,Fish,,Stück (Piece),,,,,,0.04508348173,,-0.7664191895,,,1.397587934,,-0.676252226,,,,,,,,,,,,,,,,,,,,49.75,172,1,,6322,,,4035,10578,7665,,,,,,,,,,,,,64,,,59,12547,3221,,,,285,,24,16,,,,,,,,172,,,,,,,,,
pike-perch,Zant,,Fish,Fish,,,,,,,,-0.4229488557,,-0.5420893785,,1.781150815,-0.303808333,,-0.5123042478,,,,,,,,,,,,,,,,,,,,3.375,20,0,,8,,,,,18,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pinenuts,Pienigen/Pienien,,Seeds,Flavorings,,Stof (Solids),1.766505771,0.6521508762,-0.9845578762,-0.6014983809,,-0.9845578762,,-1.158675829,,1.000386781,0.861092419,,-0.009497342857,-0.9497342857,,,,,,,,,0.4083857428,,,,,,,,,,5.125,25,0,,,,,,,,,,,,,,,,,21,,,0,,,,,18,,,,0,,,,,,,,,,,,,,,,,,,,
pistachios,Pistatien,,Nuts,Flavorings,,Pfund (lb),0.4400216908,1.12281397,-1.034809632,0.8496970582,,,,-1.417173308,,1.013567205,,,-0.6797576465,0.6312035289,-0.9255628669,,,,,,,,,,,,,,,,,,12.25,79,0,,,,,,,,,,,,,,,,,12,,,0,,,,64,11,,,,0,,,,,,,,,,,,,,,,,,,,
Plums,Pflaumen,,Fruit,Organics,,Pfund (lb),,,,,,,,,,,,,,,-0.463966976,1.147707783,-0.6837408067,,,,,,,,,,,,,,,,38.9,73,10,,636,,,345,1134,2070,,,,,,,,,,395,,,10,,,,5740,551,,,,63,,16,,,,,,,,,55,,,,,,,,,
Pomagranates,Pomeranzen,,Fruit,Organics,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,94,0,,381,,,65,112,65,,,,,,,,,,,,,0,,,,846,,,,,30,,75,18,,,,,,,,,,,,,,,,,
poppy seeds,Mohn,,Seeds,Flavorings,,Stof (Solids),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,92,42,,,,,,,,,,,,,,,
preserved barberries,eingemachte Rebarbeerbeeren,,Fruit,Organics,,Stof (Fluids),0.7125598795,1.57318415,-0.8698782945,,,,,-0.9809265874,,0.1017942685,-0.5367334157,,,,,,,,,,,,,,,,,,,,,,2,8,1,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserved sturgeon,Eingemachter Stör,"The numbers on this one seem a little wonky: on my original spreadsheet, I have 423.5 lb. in 1663",Fish,Fish,,Pfund (lb),-0.3647871645,-0.4114053325,-0.6678052565,-0.8309688445,0.8472852033,,,0.5675761953,,,-0.8542779285,,-1.09902331,1.966121235,,0.8472852033,,,,,,,,,,,,,,,,,8.714285714,55,1,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,
quail,Wachtelln,,Meat,Meat,"Bird, wild",Stück (Piece),1.616801405,1.333275361,0.04452061838,0.4311470412,,,,-1.16690884,,0.8950987486,-0.9864831758,,-0.9091578912,-0.6771820375,-0.9349329861,,,,,,,,0.3538217566,,,,,,,,,,19.75,93,0,,3,,,649,1,,,,,,,,,,,,,,0,,,,26,13,,,,,,,,,,,,,,,,,,,,,,,,
quark,Glumse,,Dairy,Dairy,,Stof (Fluids),0.7935679651,-0.2584764229,1.192619285,1.228896677,-0.947746884,-1.419352989,,-0.04081206677,,1.482838426,0.06802011129,,-0.367308601,-0.8751920986,-0.2947538156,1.446561033,0.3945166455,-1.455630382,,,,,-0.947746884,,,,,,,,,,81.45454545,264,1,,340,,,312,216,199,,168,,,,,,,,,,,144,,,,,168,,,,0,,264,,168,,,,,,,,,,,,,,,,
rabbit,Haasen,,Meat,Meat,wild,Stück (Piece),0.8728334643,0.8250069731,1.398924867,0.944573201,,-0.8010937275,1.518491095,-0.9684864466,,-1.088052675,0.7293539907,,0.05978311399,-1.064139429,-0.8728334643,,,-0.7532672363,,,,,-0.8010937275,,,,,,,,,,36.09090909,98,0,,87,,,87,249,457,,,,,,,,,,,,,0,,,,692,109,,,,10,,19,9,,,,,,,,59,,,,,,,,,
raisins,Rosinen,,Fruit,Organics,preserved,Pfund (lb),,,,,,,,,,0.5053929359,0.6464328249,,-1.151825761,,,,,,,,,,,,,,,,,,,,49.13333333,92,10,,425.5,,,214.75,496.75,661.2,,24,,,,,,,,264,,,49,,,,859,369.5,,,,6,,26,42,90,61,10,,,,,24,,,,,,,,,
rice,Reiß,,Grain,Grain,,Pfund (lb),1.358934576,1.217468201,1.523978681,-0.6451724092,,,,-0.92810516,,0.6516026989,0.06215946799,,-0.7630610553,-0.8337942431,,,,,,,,,-0.7394833261,,,-0.9045274308,,,,,,,44.23076923,110,2,,520,,,547,837,666.5,,,,,,,,,,328,110,,6,,,,0,697,,,,88,,2,10,,,15,,,,,13,,,,,,,,,
