"date","citron","lemons","Pomagranates"
1640,,,
1641,1,1,1
1642,,,
1643,,,
1644,1,1,1
1645,1,1,1
1646,1,1,1
1647,,,
1648,,1,
1649,,,
1650,,,
1651,,,
1652,,,
1653,,,
1654,,,
1655,,,
1656,,1,
1657,,1,
1658,,,
1659,0,1,0
1660,,,
1661,,,
1662,,,
1663,1,,1
1664,1,1,
1665,,,
1666,,,
1667,,,
1668,1,1,1
1669,,,
1670,1,1,1
1671,1,,1
1672,,1,
1673,,1,
1674,,,
1675,,,
1676,,,
1677,,,
1678,,,
1679,1,1,
1680,,,
1681,,,
1682,,,
1683,,,
1684,,,
1685,,,
1686,,,
1687,,,
1688,,,
