"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"9","big sheep cheese","Grose Schaaffkese","","Dairy","Dairy","","Stück (Piece)",0.1243286565,0.7226603162,-0.8547595137,1.402582657,,,,-1.072334663,,0.7226603162,,,-1.045137769,,,,,,,,,,,,,,,,,,,,"29.875",92,0,,"22",,,"4","10","8",,,,,,,,,,"",,,0,,,,"5","",,,,"0",,,,,,,,,,,,,,,,,,,,
"12","brandenburg hard cheese","","","Dairy","Dairy","","Stück (Piece)",-0.6475842722,-0.6048354427,-0.6411316187,-0.601609116,,,,-0.6725883045,,-0.6524237623,-0.6419382004,,-0.6564566707,,-0.5693458485,3.489373202,2.376290473,0.5856791277,0.2953097203,-0.575798502,0.004940312835,0.004940312835,-0.6241934032,0.1017301153,,0.1017301153,-0.575798502,0.1017301153,0.1017301153,0.1017301153,,0.1985199178,"832.875",5160,0,,"17195",,,"5635","21785","7493",,,,,,,,,,"",,,0,,,,"15700","2640",,,,"1800",,,128,5160,3780,1560,1200,120,840,840,60,960,,960,120,960,960,960,,1080
"76","Gouda Cheese","Holländische Kese","","Dairy","Dairy","","Stück (Piece)",0.5607962931,0.6555787652,-0.884636406,0.3238401129,,,,-1.382244384,,-0.1500722475,0.2764488769,,,-1.145288204,,,,,,,,,1.745577194,,,,,,,,,,"32.1",101,0,,"13",,,"2","52","99",,,,,,,,,,"",,,0,,,,"125","43",,,,"14",,2,,,,,,,,,1,,,,,,,,,
"147","small sheep cheese","Kleine Schaaffkese","","Dairy","Dairy","","Stück (Piece)",-0.5055183915,0.5917308304,0.7837494442,-1.163867925,,,,-1.191299155,,1.414667747,,,0.07053744998,,,,,,,,,,,,,,,,,,,,"26.25",86,0,,"1071",,,"204","515","553",,,,,,,,,,"",,,0,,,,"0","",,,,"0",,,,,,,,,,,,,,,,,,,,
