"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"106","Pickeled moose","Elend und pökel wildpret","","Meat","Meat","venison, wild","Thonne",0.8274902285,-1.111201164,,0.2837109355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.571428571",43,1,,"28.87",,,"","1","",,,,,,,,,,"",,,,,,,"28","",,,,"",,,,,,,,,,,,,,,,,,,,
"108","Pickled deer","Hirschen pökel wildpret","","Meat","Meat","venison, wild","Thonne",-0.1767169908,-0.3638290987,-0.6756826118,-0.2390876934,,,,-0.5197558552,,-0.6756826118,-0.8004240171,,,,,,,,1.725589439,1.725589439,,,,,,,,,,,,,"25.625",103,0,,"17.25",,,"6.25","8","11",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"116","pickled pork","Schwein pökel Wildpret","","Meat","Meat","pork","Thonne",,,,,,,,0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,"1.75",8,0,,"",,,"","1.5","",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"119","pickled wild aurochs or elk","Pökel Auer Wildpret","","Meat","Meat","beef, wild","Thonne",0.6141086036,0.1177306649,0.1940965017,-0.4168301921,,,,-0.7604764573,,2.828717868,0.3086452567,,,-0.4168301921,,-0.6077447839,,,-0.6841106206,-0.6841106206,,,,,-0.4931960288,,,,,,,,"1.428571429",4,1,,"",,,"","0.62","",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
