"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"75","ginger",NA,"Spice","Flavorings","","Pfund (lb)",-0.3902887915,0.1282767357,1.438337015,1.82043793,NA,NA,NA,-0.9088543187,NA,-0.5540463264,0.7287210303,NA,-0.526753404,-0.8542684738,NA,NA,NA,NA,NA,NA,NA,NA,-0.8815613963,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.3359375",50,3.5,NA,"204.72",NA,NA,"115.75","221.75","335.2",NA,4.25,NA,NA,NA,NA,NA,NA,NA,"79.75",33.5,NA,5.75,NA,NA,NA,"337.625","112.25",NA,NA,NA,"1",NA,4.375,3.5,6,4.5,6,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","honey",NA,"Honey","Flavorings","","Stof (Fluids)",-0.06659723635,-0.1046528,1.075069673,-0.4471528727,NA,NA,NA,-0.1046528,NA,1.760069818,-0.6754862544,NA,-1.436597527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.18181818",78,1,NA,"",NA,NA,"24","24","6",NA,48,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,4,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","lard",NA,"Cooking oil","Flavorings","","Stück (Piece)",-0.09885710339,-0.7122204949,0.0269610282,0.2785972914,NA,NA,NA,-0.9481294916,NA,NA,NA,NA,-0.5864023633,2.040051134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.72727273",99,1,NA,"",NA,NA,"9.5","29.5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"11","11",NA,NA,NA,"",NA,4,NA,NA,9,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"92","mace",NA,"Spice","Flavorings","","Pfund (lb)",-0.3340965439,1.163707063,-0.2027102626,0.4279438877,NA,NA,NA,-1.174968744,NA,1.268816088,NA,NA,-1.148691488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.09140625",83,0.25,NA,"26.2",NA,NA,"22.9","42.14","41.3",NA,0.25,NA,NA,NA,NA,NA,NA,NA,"76",9,NA,0.9,NA,NA,NA,"71.84","37.5",NA,NA,NA,"4.09",NA,1.3125,1,1.625,1.125,2,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","mustard",NA,"Seasoning","Flavorings","","Stof (Solids)",0.1903453986,-0.4765046986,0.24164156,0.1390492373,NA,NA,NA,-0.6893837681,-0.6560412632,-0.4970231631,-0.08665387252,-0.5278008599,-0.5483193245,-0.6970781923,-0.8048001311,NA,NA,NA,NA,NA,NA,NA,2.047266439,NA,2.365302639,NA,NA,NA,NA,NA,NA,NA,"11.14285714",66,1,NA,"57",NA,NA,"10","","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","nutmeg",NA,"Spice","Flavorings","","Pfund (lb)",-0.09575312649,-0.09575312649,0.2700453343,-0.7627973785,NA,NA,NA,-0.3432050264,NA,-0.5045867003,-0.407757696,NA,-0.6444508176,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1280294613,NA,2.712287999,NA,NA,NA,NA,NA,NA,NA,"17.71933333",80,0.5,NA,"14.828",NA,NA,"14.5","22.03","22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.75",10,NA,0.5,NA,NA,NA,"69.375","36.125",NA,NA,NA,"0.6",NA,0.5,0.69,1.1,0.75,2,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","olives",NA,"Olives","Flavorings","","Stof (Fluids)",-0.4486924541,-0.3890088973,-0.3293253404,3.550105854,-0.508376011,NA,NA,0.9240293533,0.1779848927,2.714536059,-0.09059111306,0.9837129101,0.7449786827,-0.03090755622,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,0.267510228,NA,NA,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.508376011,-0.4486924541,-0.508376011,"23.25",62,1,NA,"121.5",NA,NA,"24","31","127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",4,NA,1.5,NA,NA,NA,"","34",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","pepper",NA,"Spice","Flavorings","","Pfund (lb)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.09375",52,3.5,NA,"217.59",NA,NA,"134.25","247.8125","344.3",NA,4.25,NA,NA,NA,NA,NA,NA,NA,"95.25",35.5,NA,5.75,NA,NA,NA,"350.875","120.5",NA,NA,NA,"1.625",NA,4.5,3.5,6,4.5,6,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","pinenuts",NA,"Seeds","Flavorings","","Stof (Solids)",1.766505771,0.6521508762,-0.9845578762,-0.6014983809,NA,-0.9845578762,NA,-1.158675829,NA,1.000386781,0.861092419,NA,-0.009497342857,-0.9497342857,NA,NA,NA,NA,NA,NA,NA,NA,0.4083857428,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.125",25,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,0,NA,NA,NA,"","18",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","pistachios",NA,"Nuts","Flavorings","","Pfund (lb)",0.4400216908,1.12281397,-1.034809632,0.8496970582,NA,NA,NA,-1.417173308,NA,1.013567205,NA,NA,-0.6797576465,0.6312035289,-0.9255628669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.25",79,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,0,NA,NA,NA,"64","11",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","poppy seeds",NA,"Seeds","Flavorings","","Stof (Solids)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.9",92,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,48,92,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","saffron",NA,"Spice","Flavorings","","Pfund (lb)",1.620280893,NA,NA,-0.8101404467,NA,NA,NA,NA,NA,0.1761174884,NA,NA,-0.8101404467,-0.1761174884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.00429688",104,0.03125,NA,"7.9",NA,NA,"3.3","8.7","15.7",NA,0.625,NA,NA,NA,NA,NA,NA,NA,"9.06",1.5,NA,0.4,NA,NA,NA,"8.625","5.375",NA,NA,NA,"0.03125",NA,0.0625,0.03125,0.4375,0.1875,0.5,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","sugar",NA,"Sugar","Flavorings","","Pfund (lb)",-0.1616263846,-1.173548097,1.918434913,-0.1054085117,NA,NA,NA,-1.117330224,NA,-0.1616263846,0.007027234115,NA,NA,0.7940774549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.4296875",533.625,6,NA,"2333",NA,NA,"1,524.40","3414","3,296.25",NA,42,NA,NA,NA,NA,NA,NA,NA,"4,190.50",533.625,NA,77,NA,NA,NA,"6,365.50","2,311.50",NA,NA,NA,"30",NA,77.5,64,146,92,40,NA,NA,NA,NA,145.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","wine vinegar",NA,"Acid","Flavorings","","Stof (Fluids)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.333333333",12,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
